Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
47,0.0,0.0,1.0,730.0,730.0,6.0,365.0,0.5,,,0.0,59.523674964904785,,,,,,,,,,,,,,,,,,,,,3.0911314205311466,1.5066469367413746,5.295845035588975,0.8846010792028911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.0,0.0,1.0,738.0,738.0,4.0,369.0,0.5,,,0.0,60.4274423122406,,,,,,,,,,,,,,,,,,,,,2.2446464480318133,1.0011355968809645,3.5868774129567638,0.9004952243402464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.0,0.0,1.0,776.0,776.0,19.0,388.0,0.5,,,0.0,61.9276967048645,,,,,,,,,,,,,,,,,,,,,8.32045950006901,4.503838558024256,15.673688298221945,0.8498979643478201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.0,0.0,1.0,794.0,794.0,9.0,397.0,0.5,,,0.0,63.079413414001465,,,,,,,,,,,,,,,,,,,,,4.12514534248491,2.1277221314866073,7.418124337511909,0.826094849816272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.0,0.0,1.0,802.0,802.0,4.0,401.0,0.5,,,0.0,64.08399033546448,,,,,,,,,,,,,,,,,,,,,2.373061197532147,1.0592543670502446,3.7933570547692597,0.9510474234822637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.0,0.0,1.0,814.0,814.0,6.0,407.0,0.5,,,0.0,65.10208892822266,,,,,,,,,,,,,,,,,,,,,3.3855129721052744,1.6522033133934377,5.8041487415969435,0.9669941643324169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.0,0.0,1.0,840.0,840.0,13.0,420.0,0.5,,,0.0,66.31837153434753,,,,,,,,,,,,,,,,,,,,,6.901970176048663,3.6793256921920423,12.791537417504493,0.9907983206139199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.0,0.0,1.0,858.0,858.0,9.0,429.0,0.5,,,0.0,67.38777351379395,,,,,,,,,,,,,,,,,,,,,4.8914506229800985,2.517786036244412,8.784708264386312,0.9827850463355735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.0,0.0,1.0,868.0,868.0,5.0,434.0,0.5,,,0.0,68.38901376724243,,,,,,,,,,,,,,,,,,,,,2.963151725243896,1.3947205819756507,4.934180966637642,0.9893533728423631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.0,0.0,1.0,886.0,886.0,9.0,443.0,0.5,,,0.0,69.47972249984741,,,,,,,,,,,,,,,,,,,,,4.347080385480552,2.2404189967643235,7.8146287839883,0.8723666423488093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
